client_id,days_since_prev,contacts_before,outcome_id
24061,151,3,1
24063,166,1,2
24065,91,4,1
24073,86,4,2
24078,143,3,1
24081,147,2,3
24087,89,2,2
24123,140,4,2
24128,176,1,1
24137,101,11,2
24152,174,2,1
24161,170,3,1
24166,167,3,3
24171,174,1,1
24185,195,2,1
24187,165,2,1
24188,129,2,1
24190,188,1,1
24199,196,2,1
24204,172,1,1
24208,118,1,1
24209,167,2,1
24231,119,3,1
24235,104,2,2
24237,171,2,1
24239,117,2,2
24240,164,2,3
24251,132,1,1
24254,129,2,1
24255,131,1,1
24258,123,2,1
24265,159,1,3
24266,186,2,1
24267,186,1,1
24296,167,16,2
24300,111,6,1
24301,115,5,2
24312,172,2,1
24313,111,2,1
24316,123,2,1
24324,116,1,1
24327,173,1,1
24328,123,1,1
24331,178,2,2
24332,166,10,1
24344,164,3,1
24347,111,3,1
24351,110,2,1
24354,115,1,1
24359,152,1,1
24360,115,1,1
24365,96,4,1
24367,103,4,1
24369,103,2,2
24396,174,2,1
24403,118,3,1
24406,150,1,1
24408,188,1,2
24412,175,2,1
24413,196,1,1
24416,110,2,1
24417,104,1,1
24422,193,3,1
24423,118,3,1
24426,104,1,1
24427,188,2,1
24430,181,1,1
24436,103,4,3
24440,165,2,2
24450,185,4,2
24451,186,1,1
24462,131,1,1
24470,123,3,1
24474,181,2,1
24476,131,1,1
24487,154,3,1
24490,131,1,1
24491,181,1,1
24493,181,1,1
24495,145,1,1
24503,131,1,1
24504,181,1,2
24506,171,5,2
24507,119,10,3
24509,145,1,2
24511,138,2,1
24518,171,2,1
24521,195,2,1
24529,171,2,2
24532,126,3,1
24536,188,1,1
24537,145,1,1
24546,150,3,3
24554,96,2,1
24555,188,2,1
24557,150,12,1
24561,173,1,1
24567,196,1,1
24568,132,2,1
24571,126,3,1
24574,111,4,1
24575,193,1,3
24579,119,1,1
24581,126,3,1
24582,123,7,2
24584,195,2,1
24589,151,2,1
24590,180,3,1
24591,129,2,1
24592,195,1,1
24593,172,2,1
24596,150,2,2
24597,129,18,2
24606,131,1,2
24607,180,1,1
24610,109,9,1
24611,129,1,1
24612,186,2,1
24617,193,2,1
24619,101,3,1
24623,150,1,3
24624,172,2,1
24625,109,21,2
24627,167,6,1
24628,119,1,1
24630,186,1,1
24633,171,2,1
24634,119,2,1
24638,151,1,1
24639,117,3,1
24644,158,8,2
24650,109,11,1
24659,111,6,1
24663,131,4,1
24666,96,2,1
24673,119,3,1
24676,168,2,1
24677,172,1,1
24685,131,1,1
24687,196,1,1
24692,195,1,1
24697,186,7,1
24698,172,1,1
24699,117,3,1
24700,171,4,1
24702,186,4,1
24703,151,2,1
24704,109,4,1
24710,126,2,1
24715,168,2,1
24719,150,5,2
24722,175,1,1
24724,186,9,2
24730,117,1,1
24738,97,3,1
24740,182,1,1
24753,127,4,1
24754,130,2,1
24757,110,2,1
24759,194,2,1
24761,168,1,2
24762,125,5,1
24766,176,1,1
24777,105,1,1
24780,166,2,1
24787,165,2,3
24788,172,3,1
24796,102,6,1
24802,172,3,2
24803,26,3,3
24805,193,1,2
24826,179,3,2
24827,96,2,2
24835,167,1,2
24838,182,2,1
24839,28,2,3
24844,179,6,1
24845,182,2,1
24851,182,1,1
24852,183,2,1
24859,155,3,1
24860,131,1,1
24864,195,1,1
24865,110,5,1
24867,165,2,1
24868,182,7,1
24870,138,1,1
24872,182,1,1
24873,96,4,1
24877,186,3,1
24879,127,2,1
24885,182,1,1
24898,172,3,1
24899,195,1,1
24901,126,3,1
24902,110,4,1
24903,186,1,3
24905,173,2,2
24910,167,2,1
24912,172,3,1
24916,188,1,1
24918,112,2,1
24919,173,2,1
24920,127,5,1
24923,182,1,2
24924,168,1,1
24928,96,6,1
24937,127,6,2
24941,110,2,1
24942,173,3,1
24944,120,3,2
24945,137,1,2
24948,124,6,1
24949,110,3,2
24955,175,2,1
24956,127,3,1
24960,188,1,1
24961,187,3,1
24962,190,6,1
24970,181,2,1
24971,181,3,1
24983,182,1,1
24986,172,2,1
24987,175,2,1
24988,126,2,1
24993,154,2,1
25000,196,1,1
25003,165,1,1
25005,168,2,1
25014,182,1,1
25015,188,1,1
25016,168,2,2
25023,179,2,1
25025,131,1,1
25026,181,4,2
25030,175,1,1
25031,113,2,2
25035,113,3,2
25037,165,2,1
25045,102,2,1
25048,104,2,1
25051,110,2,3
25059,110,2,1
25061,154,1,1
25069,181,1,1
25072,162,2,1
25073,183,5,1
25074,159,1,1
25079,113,2,1
25086,172,8,1
25096,124,2,1
25097,110,2,1
25113,102,2,1
25119,124,1,3
25121,188,1,1
25123,124,2,1
25126,154,6,2
25127,110,2,1
25130,179,3,1
25133,124,1,1
25134,127,7,2
25136,183,1,2
25137,110,2,1
25147,124,1,1
25149,124,1,1
25152,116,1,1
25154,187,3,1
25158,110,2,1
25166,182,2,1
25176,123,1,1
25178,195,1,1
25182,165,2,1
25185,174,1,2
25188,152,1,1
25193,123,2,1
25200,104,2,1
25204,187,2,1
25206,134,2,2
25208,96,4,1
25214,182,1,1
25221,116,1,2
25225,113,5,1
25229,151,14,1
25230,188,1,1
25231,154,1,1
25234,196,2,1
25235,168,1,2
25236,110,3,2
25239,193,2,1
25240,110,4,1
25242,151,2,2
25246,111,2,1
25251,175,2,1
25254,110,3,2
25257,188,3,1
25261,134,7,1
25267,152,1,2
25274,169,1,1
25275,111,3,1
25277,132,1,2
25279,162,12,1
25280,179,3,1
25283,113,7,3
25285,169,2,1
25286,131,1,1
25289,189,1,1
25293,186,3,1
25296,181,2,2
25298,110,4,3
25305,182,1,1
25306,174,1,1
25309,166,6,1
25315,110,2,1
25322,110,2,2
25328,182,1,1
25333,126,4,2
25334,131,1,1
25337,179,4,1
25338,194,2,1
25345,112,8,2
25348,189,1,1
25351,152,11,2
25352,8,1,1
25354,110,15,1
25358,181,2,1
25360,176,2,1
25365,124,1,1
25366,119,2,1
25368,117,7,1
25370,113,5,1
25374,154,3,2
25378,120,4,1
25379,137,2,1
25381,172,1,1
25383,110,3,1
25384,127,3,1
25385,112,2,1
25388,144,5,1
25393,96,2,1
25394,188,2,1
25399,166,3,2
25402,123,1,1
25405,186,6,1
25409,162,1,1
25410,175,2,1
25411,144,1,1
25412,123,1,2
25415,123,3,1
25416,102,2,1
25421,152,14,1
25423,193,1,1
25424,123,1,2
25425,110,2,1
25435,187,2,2
25438,110,2,2
25443,186,1,1
25449,119,11,1
25455,191,4,1
25462,184,3,1
25463,166,2,1
25467,182,1,1
25478,169,5,1
25479,175,2,3
25480,111,2,1
25481,111,2,2
25483,182,1,1
25486,170,1,1
25487,180,2,1
25490,182,2,1
25491,188,2,1
25492,182,1,1
25495,177,3,1
25503,182,2,1
25504,170,3,1
25505,182,3,1
25506,168,2,2
25511,111,3,1
25514,170,1,1
25520,180,1,2
25526,5,1,3
25531,99,2,1
25535,154,3,1
25536,180,1,1
25537,111,2,1
25538,99,2,3
25541,191,1,1
25542,183,3,2
25543,120,2,1
25545,120,1,1
25550,133,4,2
25553,133,2,1
25556,168,1,3
25557,154,8,2
25568,111,1,2
25569,93,4,1
25570,93,5,1
25571,97,2,2
25574,92,4,1
25579,170,1,2
25580,155,3,1
25581,175,1,2
25582,182,2,1
25588,10,1,1
25595,170,2,1
25596,169,2,1
25605,180,2,1
25609,180,1,2
25618,125,1,1
25619,91,3,1
25621,189,6,1
25624,180,1,1
25628,100,4,1
25637,156,1,1
25638,113,3,1
25654,113,2,2
25658,177,5,1
25662,198,2,2
25676,177,1,1
25677,152,6,1
25679,195,9,1
25690,106,1,1
25699,175,1,1
25700,183,1,1
25701,117,8,3
25703,117,1,2
25707,184,5,1
25715,152,1,3
25717,166,2,1
25718,105,4,1
25722,190,4,3
25729,111,10,1
25730,182,1,2
25742,111,1,1
25745,190,1,2
25746,153,2,1
25750,183,1,1
25751,152,2,1
25753,188,9,1
25755,174,1,1
25756,174,1,1
25759,167,1,1
25760,119,2,1
25764,189,2,2
25766,113,2,1
25767,152,4,1
25768,174,4,2
25778,126,7,1
25781,127,4,2
25782,112,4,1
25783,174,2,1
25786,198,1,1
25788,146,1,1
25790,153,1,2
25791,174,1,1
25797,153,2,2
25799,195,1,2
25813,120,2,1
25815,128,3,1
25817,175,1,1
25818,128,3,1
25830,118,2,1
25835,112,2,1
25840,153,2,1
25841,183,1,1
25843,170,2,1
25846,174,1,3
25847,111,2,1
25857,180,2,1
25859,174,1,1
25868,111,2,1
25869,111,2,1
25871,111,2,1
25880,152,2,1
25890,183,1,1
25899,189,8,1
25906,166,3,1
25910,175,1,2
25913,169,2,1
25917,183,1,2
25920,198,1,1
25927,183,1,1
25932,131,2,1
25934,183,2,1
25938,166,1,1
25942,183,1,1
25946,152,5,1
25947,170,2,1
25948,127,5,1
25950,113,1,1
25951,183,1,1
25956,174,2,2
25959,180,4,1
25963,7,4,3
25965,133,1,1
25967,189,1,1
25969,119,4,1
25974,184,2,1
25977,174,1,2
25985,195,2,2
25987,104,4,1
25990,145,3,1
26004,183,2,2
26007,121,2,3
26010,188,2,2
26012,160,1,1
26015,175,1,1
26016,111,6,1
26021,190,2,1
26028,170,2,1
26031,173,1,1
26035,117,2,2
26036,133,3,1
26039,180,1,2
26044,160,1,1
26047,174,1,1
26048,126,1,1
26051,173,6,1
26052,111,3,1
26056,153,1,1
26058,107,2,1
26059,90,6,1
26061,170,3,1
26062,175,12,2
26070,174,2,3
26074,170,3,1
26078,117,3,1
26083,99,5,1
26097,111,7,1
26101,27,1,3
26102,167,3,2
26103,124,1,1
26109,133,3,1
26113,174,1,1
26116,153,1,2
26118,187,3,1
26122,166,3,2
26128,174,3,3
26132,189,1,2
26133,100,2,1
26136,170,3,2
26138,112,4,2
26145,147,4,1
26150,198,2,1
26153,171,3,3
26156,119,2,3
26164,184,1,2
26170,191,2,1
26171,183,4,1
26177,197,1,1
26179,171,2,1
26191,106,2,3
26193,128,2,1
26195,136,4,1
26197,174,2,1
26203,184,1,1
26206,184,1,1
26207,184,1,1
26208,101,4,2
26214,189,4,1
26216,167,2,1
26231,183,4,1
26235,176,2,1
26236,105,2,2
26238,139,1,1
26239,191,1,1
26241,167,1,2
26243,183,2,1
26249,185,2,1
26258,196,1,1
26262,190,1,1
26265,91,2,1
26268,122,1,1
26270,134,1,1
26283,178,4,1
26292,185,3,1
26296,105,2,3
26298,171,1,1
26311,127,1,1
26319,104,2,2
26322,127,2,1
26326,190,1,1
26331,100,10,2
26332,190,2,1
26339,176,4,1
26350,170,1,2
26354,190,1,1
26363,157,1,1
26367,177,1,1
26369,167,1,1
26370,190,1,1
26383,190,4,2
26386,136,3,1
26390,183,2,1
26391,126,1,1
26395,129,4,1
26399,155,14,1
26401,177,9,1
26404,183,1,1
26405,164,2,1
26406,184,1,1
26411,113,8,1
26420,181,11,1
26428,122,6,1
26435,167,1,1
26436,122,2,1
26438,170,4,2
26443,190,2,1
26445,171,4,2
26446,177,1,1
26448,183,1,1
26451,195,6,1
26454,177,3,1
26455,178,5,1
26464,188,1,3
26469,177,4,1
26471,118,1,2
26479,149,4,1
26486,153,4,1
26489,139,6,1
26499,183,2,1
26503,122,2,2
26512,91,1,1
26515,183,2,1
26517,149,3,1
26518,190,1,1
26520,104,1,1
26535,155,2,1
26540,189,2,1
26546,190,2,1
26555,135,1,1
26558,183,2,1
26561,170,1,1
26566,183,2,1
26569,92,4,1
26577,177,2,1
26579,101,2,1
26580,195,1,2
26581,133,1,1
26593,106,2,1
26607,171,3,1
26611,183,1,1
26613,156,2,2
26615,189,1,1
26618,154,1,1
26619,133,1,1
26625,100,6,2
26632,100,2,1
26650,188,2,1
26651,190,4,2
26654,178,5,1
26657,190,3,3
26658,153,26,1
26660,196,1,2
26665,189,2,1
26667,189,1,1
26668,8,1,1
26669,112,37,2
26672,164,2,1
26673,174,3,1
26681,122,1,2
26686,177,16,2
26688,164,1,1
26697,185,7,1
26704,177,2,1
26705,181,4,1
26706,167,1,1
26707,183,3,1
26711,157,1,1
26716,189,2,1
26719,156,2,1
26722,189,2,1
26727,104,3,1
26731,184,3,2
26734,162,3,1
26738,183,1,1
26742,181,5,2
26745,184,2,1
26760,183,1,1
26766,183,1,1
26768,189,2,2
26773,100,2,1
26778,112,3,2
26784,101,3,1
26791,196,4,1
26800,185,4,1
26804,125,2,2
26813,189,1,1
26816,135,1,1
26825,188,8,2
26827,178,7,1
26828,30,1,1
26834,178,6,1
26835,114,4,1
26836,183,2,1
26837,113,13,2
26841,174,1,1
26845,115,6,1
26851,112,2,2
26854,183,2,1
26861,98,4,2
26863,170,8,2
26866,189,2,3
26867,174,4,1
26869,112,2,1
26874,175,3,1
26889,113,2,2
26891,133,1,1
26894,186,1,2
26899,192,2,1
26900,168,2,2
26904,189,3,1
26907,175,15,2
26908,114,7,1
26910,157,1,1
26913,123,1,1
26915,113,4,1
26919,185,1,2
26922,113,8,1
26923,163,2,1
26927,34,1,1
26929,121,2,1
26937,121,1,1
26940,158,25,1
26944,177,1,1
26945,182,1,1
26946,95,13,2
26956,100,2,1
26957,100,2,3
26962,10,1,1
26970,175,3,2
26971,171,1,1
26972,197,3,1
26973,106,7,1
26980,182,1,1
26984,172,2,1
26985,189,2,1
26987,101,2,1
26989,127,4,2
26994,184,2,1
26998,163,2,1
27004,157,4,1
27006,184,1,2
27007,126,2,1
27008,113,2,2
27014,123,8,1
27021,185,1,1
27025,135,2,1
27030,168,2,1
27031,95,8,1
27037,178,3,2
27038,109,1,2
27047,163,1,2
27048,141,2,1
27057,186,1,2
27063,182,1,1
27069,155,3,2
27076,101,3,1
27077,177,1,2
27081,192,2,1
27083,182,1,1
27084,113,2,1
27088,101,1,1
27089,184,2,1
27095,163,4,2
27099,154,1,1
27105,92,2,2
27108,92,20,2
27128,185,2,1
27129,113,5,2
27130,154,5,1
27133,119,1,1
27138,172,2,1
27147,179,4,1
27149,106,2,1
27150,100,2,1
27154,102,2,1
27162,120,3,1
27167,171,5,1
27168,100,2,1
27175,185,2,1
27178,99,9,2
27181,106,5,1
27184,127,1,1
27185,130,3,2
27187,133,2,1
27191,171,1,1
27193,121,1,1
27199,172,2,1
27204,176,1,1
27210,109,1,2
27219,176,1,1
27220,168,4,1
27221,184,2,1
27224,186,1,1
27232,171,1,1
27234,133,2,2
27236,182,5,1
27245,172,1,1
27246,113,4,1
27252,113,5,1
27253,157,1,1
27256,185,1,1
27258,128,2,2
27259,171,7,1
27263,189,1,1
27264,158,3,1
27268,119,3,2
27271,179,5,1
27272,101,4,1
27274,127,2,1
27277,179,4,1
27278,122,4,1
27286,182,2,1
27290,184,1,1
27296,136,3,1
27301,175,1,1
27302,157,2,1
27305,190,1,1
27306,126,1,1
27310,184,2,1
27311,170,3,1
27312,127,1,1
27314,182,1,1
27321,192,2,2
27328,31,1,1
27332,179,4,2
27334,157,2,1
27336,168,2,1
27339,199,1,3
27340,155,3,2
27350,95,2,2
27353,94,3,2
27362,116,3,1
27363,199,1,1
27366,113,5,1
27368,137,1,1
27369,113,5,2
27375,123,3,1
27385,172,3,1
27389,129,3,1
27390,102,4,1
27398,175,4,1
27400,113,4,1
27401,130,3,2
27407,176,10,1
27412,190,1,2
27420,175,1,1
27426,189,1,1
27428,198,1,1
27435,129,4,1
27440,101,6,3
27444,93,2,1
27448,130,3,1
27449,140,11,1
27450,100,6,1
27454,182,3,1
27455,155,1,3
27459,185,2,1
27461,101,5,1
27463,135,1,1
27473,192,1,1
27477,184,1,1
27479,171,4,1
27485,157,4,1
27486,179,2,2
27489,191,1,1
27494,156,8,1
27504,168,2,1
27505,116,3,2
27507,154,4,1
27512,116,4,1
27520,175,1,1
27521,193,4,1
27537,191,4,1
27544,106,2,2
27550,182,3,1
27553,154,5,1
27554,115,3,1
27558,100,5,1
27562,93,3,1
27569,93,4,1
27576,184,1,2
27578,175,1,2
27592,91,4,1
27593,177,6,1
27595,182,2,2
27597,99,2,2
27599,193,4,1
27602,176,2,2
27606,113,3,1
27607,108,3,2
27610,179,4,1
27615,182,3,1
27623,185,1,2
27624,127,2,1
27625,141,9,2
27627,176,7,1
27629,185,2,1
27630,186,3,2
27632,94,8,1
27635,127,3,1
27639,191,2,1
27640,113,27,1
27650,190,1,1
27651,137,1,1
27652,114,1,1
27661,185,2,1
27665,126,5,2
27668,192,1,2
27669,143,1,1
27671,114,1,1
27672,102,5,1
27679,175,1,1
